TYPE,userID,latitude,longitude,age,gender,famstatus,lang,profession,hobby,sport,travel_distance,age_group,lang_group,agent_experience,agent_location_group,alpha,Exclusive,target_id,exclusive,alpha,franchise,agentType,travelDistance,contractStart,contractEnd,groupName,groupCode,contactName,code,status
agent_type,1,41.6149,-8.7184,23,M,married,portoguese,itprofessional,swimming,Martial arts,high,senior,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,370,GM TOMAS FARIA,370,ACTIVE
agent_type,2,41.6149,-8.7184,49,M,married,portoguese,taxidriver,cycling,Watersports,high,senior,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XCOM,370,GM TOMAS FARIA,1000134,ACTIVE
agent_type,3,41.5920,-8.5418,51,M,single,spanish,hotelmanager,fitness,Martial arts,high,senior,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101693,GM CARLOS FERREIRA,1537037,ACTIVE
agent_type,4,41.5563,-8.5608,45,M,single,spanish,retailer,cinema,cycling,medium,midage,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1126289,GM TOMAS FARIA,1126289,ACTIVE
agent_type,5,41.5343,-8.6150,34,Z,married,spanish,taxidriver,fitness,Martial arts,medium,midage,port_spain_group,1,DMN,1,0,,FALSE,TRUE,FALSE,ORGANIZATION,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,840,GM TOMAS FARIA,840,ACTIVE
agent_type,6,41.5319,-8.7796,25,M,married,portoguese,hotelmanager,swimming,Watersports,high,senior,port_spain_group,1,DMN,0,0,,FALSE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,80000889,GM RUI DURAES,5,ACTIVE
agent_type,7,41.5317,-8.6179,53,F,single,portoguese,biker,swimming,dancing,high,senior,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1530556,GM TOMAS FARIA,1530556,ACTIVE
agent_type,8,41.5313,-8.6911,35,M,single,spanish,bankmanager,shopping,tennis,medium,midage,port_spain_group,1,DMN,0,0,,FALSE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1083573,GM RUI DURAES,1083573,ACTIVE
agent_type,9,41.4072,-8.5220,30,M,single,spanish,architect,cinema,none,high,senior,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1080284,GM PAULO GASPAR,1080284,ACTIVE
agent_type,10,41.3408,-8.4742,26,Z,single,spanish,itprofessional,diving,dancing,low,young,port_spain_group,1,DMN,1,1,,TRUE,TRUE,TRUE,ORGANIZATION,low,"2019-03-31T16:00:00.000Z""""","2023-12-30T16:00:00.000Z""""",LOJA SANTO TIRSO,80002291,GM PAULO GASPAR,5222,ACTIVE
agent_type,11,41.3408,-8.4742,52,Z,married,spanish,propertymanager,cinema,Martial arts,medium,midage,port_spain_group,1,DMN,1,1,,TRUE,TRUE,TRUE,ORGANIZATION,medium,"2019-03-31T16:00:00.000Z""""","2023-12-30T16:00:00.000Z""""",LOJA SANTO TIRSO,80002291,GM PAULO GASPAR,5224,ACTIVE
agent_type,12,41.2702,-8.3647,40,M,married,portoguese,bankmanager,meetupsocial,tennis,low,young,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1300160,GM DAVIDE SILVA,1300160,ACTIVE
agent_type,13,41.2076,-8.3324,24,Z,single,portoguese,itprofessional,swimming,none,high,senior,port_spain_group,1,DMN,0,0,,FALSE,FALSE,FALSE,ORGANIZATION,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,80001169,GM A DESIGNAR PAREDES,111,ACTIVE
agent_type,14,41.1607,-7.7886,19,M,married,portoguese,bankmanager,fitness,cycling,low,young,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1127,AM MARISA SILVA,1127,ACTIVE
agent_type,15,41.0857,-8.2925,52,M,married,spanish,tourismmanager,investing,dancing,low,young,port_spain_group,1,DMN,0,0,,FALSE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,547,GM SANDRA MOURA,547,ACTIVE
agent_type,16,41.0857,-8.2925,46,M,single,spanish,itprofessional,shopping,motorsport,high,senior,port_spain_group,1,DMN,0,0,,FALSE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1077907,GM SANDRA MOURA,1077907,ACTIVE
agent_type,17,41.0654,-8.2565,40,M,married,spanish,architect,cinema,motorsport,high,senior,port_spain_group,1,DMN,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1330984,AM RICARDO RIBEIRO,1330984,ACTIVE
agent_type,18,40.8526,-7.7259,21,M,single,spanish,agriculturemanager,cinema,Canoeing,high,senior,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101116,GM ALEXANDRE PIRES,1284498,ACTIVE
agent_type,19,40.7065,-7.7297,52,M,single,spanish,retailer,diving,none,low,young,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101693,GM CARLOS FERREIRA,1324015,ACTIVE
agent_type,20,40.5166,-8.1159,45,M,single,portoguese,bankmanager,carsocial,football,low,young,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1314909,GM VITOR VICENTE,1314909,ACTIVE
agent_type,21,40.5166,-8.1159,24,M,married,spanish,bankmanager,carsocial,tennis,medium,midage,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1525,GM VITOR VICENTE,1525,ACTIVE
agent_type,22,40.4926,-8.0866,45,M,married,portoguese,architect,garden,Martial arts,medium,midage,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1390725,AM PAULA PEREIRA,1390725,ACTIVE
agent_type,23,40.4735,-7.6019,48,M,single,spanish,tourismmanager,diving,Watersports,low,young,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1047847,GM PEDRO CASTANHEIRA,1047847,ACTIVE
agent_type,24,40.3946,-7.8086,22,M,single,spanish,itprofessional,garden,basketball,low,young,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,low,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1369627,GM FRANCISCO COSTA,1369627,ACTIVE
agent_type,25,40.3844,-7.9500,41,M,single,spanish,propertymanager,fitness,tennis,high,senior,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101156,GM PEDRO CASTANHEIRA,1091784,ACTIVE
agent_type,26,40.3572,-6.9590,27,M,single,portoguese,hotelmanager,garden,cycling,medium,midage,port_spain_group,1,DMI,0,0,,FALSE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,638,AM PAULA PEREIRA,638,ACTIVE
agent_type,27,40.2282,-8.0636,35,F,single,spanish,itprofessional,investing,Martial arts,medium,midage,port_spain_group,1,DMI,0,1,,TRUE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1615285,GM PAULO TORRES,1615285,ACTIVE
agent_type,28,39.9168,-8.6321,40,M,married,portoguese,taxidriver,meetupsocial,football,high,senior,port_spain_group,1,DMI,0,0,,FALSE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,1262803,AM MARIA DUARTE AMARAL,1262803,ACTIVE
agent_type,29,39.2997,-7.4296,34,F,married,spanish,tourismmanager,meetupsocial,none,high,senior,port_spain_group,1,DMS,0,1,,TRUE,FALSE,FALSE,PERSON,high,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101180,GM PAULA ALBUQUERQUE,1366717,ACTIVE
agent_type,30,39.2993,-7.4335,44,M,married,spanish,taxidriver,diving,cycling,medium,midage,port_spain_group,1,DMS,0,1,,TRUE,FALSE,FALSE,PERSON,medium,"2019-03-31T16:00:00.000Z""""","2021-12-30T16:00:00.000Z""""",GROUP XXX XXX,101180,GM PAULA ALBUQUERQUE,1533933,ACTIVE
